               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033273,            0.008252,                   0,             0.98929,             0.99682,             0.99354,             0.70573,            0.020282,           0.0034553,                   0,            0.067053,           0.0003328,           0.0003328
                   1,            0.024057,           0.0046834,                   0,             0.99536,             0.99695,              0.9934,             0.69389,            0.020573,           0.0031862,                   0,             0.03405,          0.00066351,          0.00066351
                   2,            0.022908,           0.0044274,                   0,             0.99618,             0.99844,             0.99398,               0.727,            0.019135,           0.0030974,                   0,           0.0010371,          0.00098377,          0.00098377
                   3,            0.022149,           0.0042754,                   0,             0.99433,             0.99838,             0.99408,             0.72721,            0.018591,           0.0030342,                   0,          0.00096489,          0.00096489,          0.00096489
                   4,            0.021492,           0.0041944,                   0,             0.98896,             0.99592,             0.99369,             0.72914,            0.018343,           0.0030939,                   0,          0.00096489,          0.00096489,          0.00096489
                   5,             0.02121,           0.0041401,                   0,             0.99611,             0.99482,             0.99467,              0.7478,              0.0179,           0.0029045,                   0,          0.00093815,          0.00093815,          0.00093815
                   6,            0.021076,           0.0040826,                   0,             0.99828,             0.99906,             0.99482,             0.75216,            0.017737,           0.0028305,                   0,          0.00090451,          0.00090451,          0.00090451
                   7,            0.020903,           0.0040777,                   0,             0.99651,               0.998,             0.99482,              0.7528,            0.017721,           0.0028915,                   0,          0.00086449,          0.00086449,          0.00086449
                   8,            0.020747,            0.004042,                   0,             0.99457,              0.9993,             0.99463,             0.74209,            0.017635,           0.0029132,                   0,          0.00081871,          0.00081871,          0.00081871
                   9,            0.020603,           0.0039969,                   0,             0.99848,             0.99946,              0.9949,             0.75647,            0.017425,           0.0028046,                   0,          0.00076792,          0.00076792,          0.00076792
                  10,              0.0205,           0.0039847,                   0,             0.99873,             0.99937,             0.99496,             0.75857,            0.017278,           0.0027806,                   0,          0.00071289,          0.00071289,          0.00071289
                  11,            0.020299,           0.0039597,                   0,              0.9981,             0.99947,             0.99495,             0.75767,            0.017277,           0.0027823,                   0,          0.00065451,          0.00065451,          0.00065451
                  12,            0.020158,           0.0039492,                   0,             0.99856,              0.9996,             0.99494,             0.75551,            0.017276,           0.0027793,                   0,          0.00059369,          0.00059369,          0.00059369
                  13,            0.019953,           0.0038976,                   0,             0.99865,             0.99955,             0.99492,             0.75977,            0.017157,           0.0027566,                   0,           0.0005314,           0.0005314,           0.0005314
                  14,             0.01982,           0.0038832,                   0,             0.99882,             0.99957,             0.99493,             0.76213,            0.017086,           0.0027477,                   0,          0.00046861,          0.00046861,          0.00046861
                  15,            0.019625,           0.0038651,                   0,             0.99905,             0.99953,             0.99495,             0.76306,            0.017111,           0.0027394,                   0,          0.00040632,          0.00040632,          0.00040632
                  16,            0.019547,           0.0038335,                   0,             0.99895,             0.99972,             0.99495,             0.76268,            0.017014,           0.0027338,                   0,           0.0003455,           0.0003455,           0.0003455
                  17,            0.019411,           0.0038002,                   0,              0.9991,             0.99967,             0.99495,             0.76448,            0.016993,            0.002727,                   0,          0.00028712,          0.00028712,          0.00028712
                  18,             0.01922,           0.0037773,                   0,             0.99905,             0.99981,             0.99495,             0.76509,            0.016943,           0.0027223,                   0,          0.00023209,          0.00023209,          0.00023209
                  19,            0.019013,           0.0037411,                   0,              0.9992,             0.99984,             0.99496,             0.76718,            0.016907,           0.0027172,                   0,           0.0001813,           0.0001813,           0.0001813
                  20,            0.018892,           0.0037344,                   0,             0.99925,             0.99982,             0.99496,             0.76862,            0.016878,           0.0027143,                   0,          0.00013552,          0.00013552,          0.00013552
                  21,            0.018785,           0.0037181,                   0,             0.99924,             0.99987,             0.99496,             0.76912,             0.01686,           0.0027105,                   0,          9.5501e-05,          9.5501e-05,          9.5501e-05
                  22,            0.018627,           0.0036813,                   0,             0.99929,             0.99982,             0.99496,                0.77,            0.016849,           0.0027081,                   0,          6.1856e-05,          6.1856e-05,          6.1856e-05
                  23,            0.018474,           0.0036456,                   0,             0.99927,             0.99985,             0.99496,              0.7707,            0.016835,           0.0027055,                   0,          3.5121e-05,          3.5121e-05,          3.5121e-05
                  24,            0.018392,           0.0036365,                   0,             0.99929,             0.99985,             0.99496,             0.77138,            0.016824,           0.0027036,                   0,          1.5718e-05,          1.5718e-05,          1.5718e-05
