               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.024206,           0.0062539,                   0,             0.99783,             0.99815,             0.99497,             0.61744,            0.024334,           0.0031912,                   0,            0.067053,           0.0003328,           0.0003328
                   1,            0.022916,            0.006111,                   0,              0.9947,             0.99482,             0.99451,              0.6205,            0.024908,           0.0033411,                   0,            0.034049,          0.00066203,          0.00066203
                   2,            0.023048,           0.0061614,                   0,               0.997,             0.99691,             0.99493,             0.62373,            0.025429,            0.003353,                   0,           0.0010283,          0.00097501,          0.00097501
                   3,            0.022699,           0.0061194,                   0,             0.99674,             0.99808,             0.99496,             0.64823,            0.022483,           0.0031871,                   0,           0.0009455,           0.0009455,           0.0009455
                   4,            0.022373,           0.0060688,                   0,             0.99837,             0.99834,             0.99498,             0.71774,             0.01966,            0.003061,                   0,           0.0009455,           0.0009455,           0.0009455
                   5,             0.02209,           0.0059866,                   0,             0.99619,             0.99931,             0.99491,             0.67399,            0.021823,           0.0031175,                   0,          0.00090451,          0.00090451,          0.00090451
                   6,            0.021953,           0.0059528,                   0,             0.99671,             0.99879,             0.99492,             0.73734,             0.01842,           0.0029208,                   0,          0.00085355,          0.00085355,          0.00085355
                   7,             0.02172,            0.005915,                   0,             0.99725,             0.99801,             0.99493,             0.73812,            0.018559,           0.0029121,                   0,          0.00079389,          0.00079389,          0.00079389
                   8,            0.021346,           0.0058427,                   0,             0.99866,              0.9993,             0.99499,             0.73543,            0.018629,           0.0029201,                   0,            0.000727,            0.000727,            0.000727
                   9,            0.021207,           0.0058371,                   0,             0.99611,             0.99905,             0.99493,             0.71614,            0.019016,           0.0029458,                   0,          0.00065451,          0.00065451,          0.00065451
                  10,            0.020879,           0.0057474,                   0,              0.9978,             0.99937,             0.99497,             0.74059,            0.017915,           0.0028545,                   0,          0.00057822,          0.00057822,          0.00057822
                  11,            0.020673,           0.0057112,                   0,               0.998,             0.99937,             0.99497,              0.7431,            0.018094,           0.0028478,                   0,          0.00050001,          0.00050001,          0.00050001
                  12,            0.020355,           0.0056328,                   0,             0.99663,             0.99955,             0.99495,             0.74031,            0.017964,           0.0028545,                   0,          0.00042179,          0.00042179,          0.00042179
                  13,            0.020071,           0.0055831,                   0,             0.99873,             0.99937,             0.99496,             0.74915,            0.017871,           0.0028265,                   0,           0.0003455,           0.0003455,           0.0003455
                  14,            0.019683,           0.0055532,                   0,              0.9987,              0.9996,             0.99497,             0.75182,            0.017723,           0.0028056,                   0,          0.00027301,          0.00027301,          0.00027301
                  15,            0.019558,           0.0054827,                   0,             0.99844,             0.99977,             0.99496,             0.75033,            0.017674,           0.0028026,                   0,          0.00020612,          0.00020612,          0.00020612
                  16,            0.019182,           0.0053935,                   0,             0.99935,             0.99945,             0.99498,              0.7533,            0.017655,           0.0027926,                   0,          0.00014646,          0.00014646,          0.00014646
                  17,            0.018946,           0.0053448,                   0,             0.99879,             0.99972,             0.99497,             0.75386,            0.017605,           0.0027879,                   0,          9.5501e-05,          9.5501e-05,          9.5501e-05
                  18,            0.018709,           0.0053126,                   0,             0.99903,             0.99965,             0.99498,             0.75507,            0.017601,           0.0027857,                   0,          5.4506e-05,          5.4506e-05,          5.4506e-05
                  19,              0.0185,           0.0052506,                   0,             0.99906,              0.9996,             0.99498,             0.75524,              0.0176,           0.0027852,                   0,          2.4481e-05,          2.4481e-05,          2.4481e-05
